==== BIONIC FLAPPING WING UAV SIMULATOR ====
Initializing Modular Simulator Loop...
Time: 1.38s | Body Z Pos: -14.3956 | Body Z Vel: 7.8383
Time: 1.39s | Body Z Pos: -14.3096 | Body Z Vel: 9.3383
Time: 1.40s | Body Z Pos: -14.2087 | Body Z Vel: 10.8383
Time: 1.41s | Body Z Pos: -14.0927 | Body Z Vel: 12.3383
Time: 1.42s | Body Z Pos: -13.9618 | Body Z Vel: 13.8383
Time: 1.43s | Body Z Pos: -13.8158 | Body Z Vel: 15.3383
Time: 1.44s | Body Z Pos: -13.6548 | Body Z Vel: 16.8383
Time: 1.45s | Body Z Pos: -13.4789 | Body Z Vel: 18.3383
Time: 1.46s | Body Z Pos: -13.2879 | Body Z Vel: 19.8383
Time: 1.47s | Body Z Pos: -13.0820 | Body Z Vel: 21.3383
Time: 1.48s | Body Z Pos: -12.8610 | Body Z Vel: 22.8383
Time: 1.49s | Body Z Pos: -12.6251 | Body Z Vel: 24.3383
Time: 1.50s | Body Z Pos: -12.3741 | Body Z Vel: 25.8383
Time: 1.51s | Body Z Pos: -12.1081 | Body Z Vel: 27.3383
Time: 1.52s | Body Z Pos: -11.8272 | Body Z Vel: 28.8383
Time: 1.53s | Body Z Pos: -11.5312 | Body Z Vel: 30.3383
Time: 1.54s | Body Z Pos: -11.2203 | Body Z Vel: 31.8383
Time: 1.55s | Body Z Pos: -10.8943 | Body Z Vel: 33.3383
Time: 1.56s | Body Z Pos: -10.5534 | Body Z Vel: 34.8383
Time: 1.57s | Body Z Pos: -10.1974 | Body Z Vel: 36.3383
Time: 1.58s | Body Z Pos: -9.8264 | Body Z Vel: 37.8383
Time: 1.59s | Body Z Pos: -9.4471 | Body Z Vel: 37.3854
Time: 1.60s | Body Z Pos: -9.0808 | Body Z Vel: 35.8854
Time: 1.61s | Body Z Pos: -8.7295 | Body Z Vel: 34.3854
Time: 1.62s | Body Z Pos: -8.3932 | Body Z Vel: 32.8854
Time: 1.63s | Body Z Pos: -8.0720 | Body Z Vel: 31.3854
Time: 1.64s | Body Z Pos: -7.7657 | Body Z Vel: 29.8854
Time: 1.65s | Body Z Pos: -7.4744 | Body Z Vel: 28.3854
Time: 1.66s | Body Z Pos: -7.1981 | Body Z Vel: 26.8854
Time: 1.67s | Body Z Pos: -6.9369 | Body Z Vel: 25.3854
Time: 1.68s | Body Z Pos: -6.6906 | Body Z Vel: 23.8854
Time: 1.69s | Body Z Pos: -6.4593 | Body Z Vel: 22.3854
Time: 1.70s | Body Z Pos: -6.2430 | Body Z Vel: 20.8854
Time: 1.71s | Body Z Pos: -6.0417 | Body Z Vel: 19.3854
Time: 1.72s | Body Z Pos: -5.8555 | Body Z Vel: 17.8854
Time: 1.73s | Body Z Pos: -5.6842 | Body Z Vel: 16.3854
Time: 1.74s | Body Z Pos: -5.5279 | Body Z Vel: 14.8854
Time: 1.75s | Body Z Pos: -5.3866 | Body Z Vel: 13.3854
Time: 1.76s | Body Z Pos: -5.2603 | Body Z Vel: 11.8854
Time: 1.77s | Body Z Pos: -5.1491 | Body Z Vel: 10.3854
Time: 1.78s | Body Z Pos: -5.0528 | Body Z Vel: 8.8854
Time: 1.79s | Body Z Pos: -4.9715 | Body Z Vel: 7.3854
Time: 1.80s | Body Z Pos: -4.9052 | Body Z Vel: 5.8854
Time: 1.81s | Body Z Pos: -4.8539 | Body Z Vel: 4.3854
Time: 1.82s | Body Z Pos: -4.8177 | Body Z Vel: 2.8854
Time: 1.83s | Body Z Pos: -4.7964 | Body Z Vel: 1.3854
Time: 1.84s | Body Z Pos: -4.7901 | Body Z Vel: -0.1146
Time: 1.85s | Body Z Pos: -4.7988 | Body Z Vel: -1.6146
Time: 1.86s | Body Z Pos: -4.8225 | Body Z Vel: -3.1146
