==== BIONIC FLAPPING WING UAV SIMULATOR ====
Initializing Modular Simulator Loop...
Time: 1.40s | Body Z Pos: -27.1072 | Body Z Vel: -89.3983
Time: 1.41s | Body Z Pos: -28.0087 | Body Z Vel: -90.8983
Time: 1.42s | Body Z Pos: -28.9253 | Body Z Vel: -92.3983
Time: 1.43s | Body Z Pos: -29.8568 | Body Z Vel: -93.8983
Time: 1.44s | Body Z Pos: -30.8034 | Body Z Vel: -95.3983
Time: 1.45s | Body Z Pos: -31.7649 | Body Z Vel: -96.8983
Time: 1.46s | Body Z Pos: -32.7415 | Body Z Vel: -98.3983
Time: 1.47s | Body Z Pos: -33.7331 | Body Z Vel: -99.8983
Time: 1.48s | Body Z Pos: -34.7396 | Body Z Vel: -101.3983
Time: 1.49s | Body Z Pos: -35.7612 | Body Z Vel: -102.8983
Time: 1.50s | Body Z Pos: -36.7977 | Body Z Vel: -104.3983
Time: 1.51s | Body Z Pos: -37.8493 | Body Z Vel: -105.8983
Time: 1.52s | Body Z Pos: -38.9154 | Body Z Vel: -106.8787
Time: 1.53s | Body Z Pos: -39.9766 | Body Z Vel: -105.3787
Time: 1.54s | Body Z Pos: -41.0228 | Body Z Vel: -103.8787
Time: 1.55s | Body Z Pos: -42.0540 | Body Z Vel: -102.3787
Time: 1.56s | Body Z Pos: -43.0702 | Body Z Vel: -100.8787
Time: 1.57s | Body Z Pos: -44.0714 | Body Z Vel: -99.3787
Time: 1.58s | Body Z Pos: -45.0576 | Body Z Vel: -97.8787
Time: 1.59s | Body Z Pos: -46.0289 | Body Z Vel: -96.3787
Time: 1.60s | Body Z Pos: -46.9851 | Body Z Vel: -94.8787
Time: 1.61s | Body Z Pos: -47.9263 | Body Z Vel: -93.3787
Time: 1.62s | Body Z Pos: -48.8525 | Body Z Vel: -91.8787
Time: 1.63s | Body Z Pos: -49.7637 | Body Z Vel: -90.3787
Time: 1.64s | Body Z Pos: -50.6599 | Body Z Vel: -88.8787
Time: 1.65s | Body Z Pos: -51.5411 | Body Z Vel: -87.3787
Time: 1.66s | Body Z Pos: -52.4073 | Body Z Vel: -85.8787
Time: 1.67s | Body Z Pos: -53.2586 | Body Z Vel: -84.3787
Time: 1.68s | Body Z Pos: -54.0948 | Body Z Vel: -82.8787
Time: 1.69s | Body Z Pos: -54.9160 | Body Z Vel: -81.3787
Time: 1.70s | Body Z Pos: -55.7222 | Body Z Vel: -79.8787
Time: 1.71s | Body Z Pos: -56.5134 | Body Z Vel: -78.3787
Time: 1.72s | Body Z Pos: -57.2896 | Body Z Vel: -76.8787
Time: 1.73s | Body Z Pos: -58.0508 | Body Z Vel: -75.3787
Time: 1.74s | Body Z Pos: -58.7970 | Body Z Vel: -73.8787
Time: 1.75s | Body Z Pos: -59.5286 | Body Z Vel: -72.8390
Time: 1.76s | Body Z Pos: -60.2646 | Body Z Vel: -74.3390
Time: 1.77s | Body Z Pos: -61.0156 | Body Z Vel: -75.8390
Time: 1.78s | Body Z Pos: -61.7815 | Body Z Vel: -77.3390
Time: 1.79s | Body Z Pos: -62.5625 | Body Z Vel: -78.8390
Time: 1.80s | Body Z Pos: -63.3585 | Body Z Vel: -80.3390
Time: 1.81s | Body Z Pos: -64.1694 | Body Z Vel: -81.8390
Time: 1.82s | Body Z Pos: -64.9954 | Body Z Vel: -83.3390
Time: 1.83s | Body Z Pos: -65.8363 | Body Z Vel: -84.8390
Time: 1.84s | Body Z Pos: -66.6923 | Body Z Vel: -86.3390
Time: 1.85s | Body Z Pos: -67.5557 | Body Z Vel: -85.7274
Time: 1.86s | Body Z Pos: -68.4054 | Body Z Vel: -84.2274
Time: 1.87s | Body Z Pos: -69.2401 | Body Z Vel: -82.7274
Time: 1.88s | Body Z Pos: -70.0598 | Body Z Vel: -81.2274
Time: 1.89s | Body Z Pos: -70.8645 | Body Z Vel: -79.7274
Time: 1.90s | Body Z Pos: -71.6542 | Body Z Vel: -78.2274
Time: 1.91s | Body Z Pos: -72.4289 | Body Z Vel: -76.7274
Time: 1.92s | Body Z Pos: -73.1886 | Body Z Vel: -75.2274
Time: 1.93s | Body Z Pos: -73.9333 | Body Z Vel: -73.7274
Time: 1.94s | Body Z Pos: -74.6630 | Body Z Vel: -72.2274
Time: 1.95s | Body Z Pos: -75.3777 | Body Z Vel: -70.7274
Time: 1.96s | Body Z Pos: -76.0774 | Body Z Vel: -69.2274
Time: 1.97s | Body Z Pos: -76.7621 | Body Z Vel: -67.7274
Time: 1.98s | Body Z Pos: -77.4318 | Body Z Vel: -66.2274
Time: 1.99s | Body Z Pos: -78.0865 | Body Z Vel: -64.7274
Simulation Complete.
Data successfully exported to plot/simulation_data.csv
